station_code,day,obs_rain_day,fcst_rain_day,fcst_humidity_day,mean_delta_pressure_3h,min_delta_pressure_3h,month,rain_day
home,2026-01-07 00:00:00+00,,0,63,0.7535712832496253,-0.8583424886068087,1,0
home,2026-01-08 00:00:00+00,,0,79.3,0.4200042724609375,-0.149993896484375,1,0
home,2026-01-09 00:00:00+00,,0,74.66666666666667,-3.037506103515625,-7.45001220703125,1,0
home,2026-01-10 00:00:00+00,,0,75.66666666666667,0.5583318074544271,-1.2249908447265625,1,0
home,2026-01-11 00:00:00+00,,0,74.16666666666667,0.5395863850911459,-1.4499969482421875,1,0
home,2026-01-12 00:00:00+00,,0,78.875,-0.3895854949951172,-1.5000152587890625,1,0
home,2026-01-13 00:00:00+00,,0,78.75,-0.20624923706054688,-1.95001220703125,1,0
home,2026-01-14 00:00:00+00,,0,72.625,0.15208307902018228,-1.524993896484375,1,0
home,2026-01-15 00:00:00+00,,0,81.625,-0.4031251271565755,-1.7750091552734375,1,0
home,2026-01-16 00:00:00+00,8.200000047683716,1.6000000163912773,85.66666666666667,-0.1916662851969401,-1.4000091552734375,1,1
home,2026-01-17 00:00:00+00,115.30000025033951,32.500000052154064,87.58333333333333,-0.4604167938232422,-2.3749847412109375,1,1
home,2026-01-18 00:00:00+00,26.600000739097595,7.900000087916851,92.0909090909091,0.47499500621448865,-0.625,1,1
home,2026-01-19 00:00:00+00,8.500000074505806,1.9000000208616257,90.46666666666667,-1.8683308919270833,-11.29998779296875,1,1
home,2026-01-20 00:00:00+00,42.30000048875809,18.299999982118607,91.45833333333333,-0.13020706176757812,-1.524993896484375,1,1
home,2026-01-21 00:00:00+00,3.500000014901161,2.3999999538064003,93.375,-0.3593756357828776,-3.3000030517578125,1,1
home,2026-01-22 00:00:00+00,,2.7000000327825546,89.125,0.3270835876464844,-1.699981689453125,1,0
home,2026-01-23 00:00:00+00,,0.20000000298023224,82.41666666666667,-0.2770837148030599,-1.8249969482421875,1,0
home,2026-01-24 00:00:00+00,14.000000268220901,12.999999977648258,85.875,0.18854204813639322,-2.2499847412109375,1,1
home,2026-01-25 00:00:00+00,4.3000001311302185,0,82.95833333333333,0.06874974568684895,-2.17498779296875,1,1
home,2026-01-26 00:00:00+00,2.000000074505806,0.5000000074505806,87.83333333333333,0.6197923024495443,-1.2749786376953125,1,1
home,2026-01-27 00:00:00+00,55.20000025629997,16.49999988079071,93.54166666666667,-1.4010416666666667,-2.774993896484375,1,1
home,2026-01-28 00:00:00+00,,0,83.29166666666667,0.7489585876464844,-1.4499969482421875,1,0
home,2026-01-29 00:00:00+00,2,0.10000000149011612,80.70833333333333,0.2770824432373047,-1.399993896484375,1,1
home,2026-01-30 00:00:00+00,6.700000137090683,2.800000101327896,83.29166666666667,-0.4531256357828776,-2.5500030517578125,1,1
home,2026-01-31 00:00:00+00,,0,74.45833333333333,1.4687493642171223,-2.425018310546875,1,0
home,2026-02-01 00:00:00+00,,0,79.08333333333333,-0.3812491099039714,-2.75,2,0
home,2026-02-02 00:00:00+00,41.40000143647194,15.000000074505806,88.08333333333333,-1.4208335876464844,-3.3749847412109375,2,1
home,2026-02-03 00:00:00+00,,0,83.75,0.5375010172526041,-1.875,2,0
home,2026-02-04 00:00:00+00,0.6000000238418579,1.0000000298023224,85.25,-0.6458326975504557,-2.925018310546875,2,0
home,2026-02-05 00:00:00+00,41.399999514222145,8.700000084936619,90.04166666666667,-0.15000152587890625,-4.199981689453125,2,1
home,2026-02-06 00:00:00+00,6.700000047683716,6.8999998942017555,76.79166666666667,1.1406256357828777,-0.1000213623046875,2,1
home,2026-02-07 00:00:00+00,3.000000014901161,1.6000000014901161,78.04166666666667,0.29895782470703125,-1.2249908447265625,2,1
home,2026-02-08 00:00:00+00,8.699999928474426,2.4000000059604645,78.375,0.16145896911621094,-2.649993896484375,2,1
home,2026-02-09 00:00:00+00,4.000000178813934,0.20000000298023224,83.5,-0.07499949137369792,-0.82501220703125,2,1
home,2026-02-10 00:00:00+00,17.900000154972076,0,82.95833333333333,-0.23645846048990884,-1.024993896484375,2,1
home,2026-02-11 00:00:00+00,33.39999997615814,3.8999999910593033,77.54166666666667,-0.4354178110758464,-2.425018310546875,2,1
home,2026-02-12 00:00:00+00,,0,57.25,0.7890634536743164,-1.5,2,0
